rt,trial_type,trial_index,trial_number,time_elapsed,random_id,figure,difficulty,text_response,word_count,file_name,participant_id,image_description,participant_gender,participant_major,participant_is_group_member,stimulus_complexity
134194,survey-text,21,18,1194352,p09z5qk6x27,stimuli/74.jpg,medium,"one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented
",20,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented
",Male,Cognitive Behavioral Neuroscience,FALSE,74
37575,survey-text,22,19,1231932,p09z5qk6x27,stimuli/138.jpg,hard,"the right and top side look serated, the bottom left is flat",12,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"the right and top side look serated, the bottom left is flat",Male,Cognitive Behavioral Neuroscience,FALSE,138
34696,survey-text,23,20,1266632,p09z5qk6x27,stimuli/90.jpg,medium,"flat and 90 degrees on top right, the others sides are uneven and jagged
",14,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"flat and 90 degrees on top right, the others sides are uneven and jagged
",Male,Cognitive Behavioral Neuroscience,FALSE,90
8523,survey-text,4,1,33750,p0dapobkyam,stimuli/8.jpg,easy,rhombus,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,rhombus ,Female,Cognitive and Behavioral Neuroscience,FALSE,8
10431,survey-text,5,2,44191,p0dapobkyam,stimuli/152.jpg,hard,"not a shape 
",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"not a shape 
",Female,Cognitive and Behavioral Neuroscience,FALSE,152
11657,survey-text,6,3,55856,p0dapobkyam,stimuli/16.jpg,easy,"triangle
",1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"triangle
",Female,Cognitive and Behavioral Neuroscience,FALSE,16
19743,survey-text,7,4,75608,p0dapobkyam,stimuli/72.jpg,medium,"not a shape
",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"not a shape
",Female,Cognitive and Behavioral Neuroscience,FALSE,72
12357,survey-text,8,5,87973,p0dapobkyam,stimuli/24.jpg,easy,hexagon,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,hexagon,Female,Cognitive and Behavioral Neuroscience,FALSE,24
18540,survey-text,9,6,106521,p0dapobkyam,stimuli/120.jpg,hard,not a shape,3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,not a shape,Female,Cognitive and Behavioral Neuroscience,FALSE,120
5794,survey-text,10,7,112324,p0dapobkyam,stimuli/64.jpg,medium,not a shape,3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,not a shape,Female,Cognitive and Behavioral Neuroscience,FALSE,64
11556,survey-text,11,8,123888,p0dapobkyam,stimuli/80.jpg,medium,lightning bolt,2,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,lightning bolt,Female,Cognitive and Behavioral Neuroscience,FALSE,80
11543,survey-text,12,9,135441,p0dapobkyam,stimuli/144.jpg,hard,star,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,star,Female,Cognitive and Behavioral Neuroscience,FALSE,144
13424,survey-text,13,10,148874,p0dapobkyam,stimuli/104.jpg,medium,"not a shape
",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"not a shape
",Female,Cognitive and Behavioral Neuroscience,FALSE,104
8322,survey-text,14,11,157203,p0dapobkyam,stimuli/48.jpg,easy,rectangle,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,rectangle,Female,Cognitive and Behavioral Neuroscience,FALSE,48
6744,survey-text,15,12,163954,p0dapobkyam,stimuli/112.jpg,hard,"not a shape
",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"not a shape
",Female,Cognitive and Behavioral Neuroscience,FALSE,112
22028,survey-text,16,13,185989,p0dapobkyam,stimuli/88.jpg,medium,triangles and rectangles,3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,triangles and rectangles,Female,Cognitive and Behavioral Neuroscience,FALSE,88
17593,survey-text,17,14,203591,p0dapobkyam,stimuli/40.jpg,easy,"squares and triangles
",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"squares and triangles
",Female,Cognitive and Behavioral Neuroscience,FALSE,40
7406,survey-text,18,15,211005,p0dapobkyam,stimuli/136.jpg,hard,dragon shape,2,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,dragon shape,Female,Cognitive and Behavioral Neuroscience,FALSE,136
